,country,HSCode,value,Sections Name,country.1,code
173,POLAND,72554,7874.220000000025,14165,Poland,POL
174,PORTUGAL,68189,2224.819999999998,13304,Portugal,PRT
175,PUERTO RICO,17012,430.13999999999976,3337,Puerto Rico,PRI
176,Petroleum Products,81,6797.509999999998,15,Petroleum Products,Unknown code
177,QATAR,37929,121093.09999999995,7470,Qatar,QAT
178,REUNION,16812,265.92999999999995,3304,Reunion,REU
179,ROMANIA,56544,5200.980000000017,11068,Romania,ROU
180,RUSSIA,77912,69320.93000000002,15270,Russian Federation,RUS
181,RWANDA,3802,24.46999999999999,750,Rwanda,RWA
182,SAMOA,3918,16.83,765,Samoa,WSM
183,SAN MARINO,2518,2.819999999999999,473,San Marino,SMR
184,SAO TOME,798,0.3700000000000001,157,Sao Tome,STP
185,SAUDI ARAB,71943,336214.6600000003,14123,Saudi Arabia,SAU
186,SENEGAL,18573,4631.130000000005,3671,Senegal,SEN
187,SERBIA,8312,129.8900000000001,1611,Serbia,SRB
188,SEYCHELLES,9071,34.59000000000003,1787,Seychelles,SYC
189,SIERRA LEONE,13720,205.58000000000007,2719,Sierra Leone,SLE
190,SINGAPORE,104399,126180.13999999984,20397,Singapore,SGP
191,SLOVAK REP,39721,1054.1299999999983,7728,Slovak Rep,SVK
192,SLOVENIA,55796,1785.9799999999966,10938,Slovenia,SVN
193,SOLOMON IS,3009,364.15,597,Solomon Is,SLB
194,SOMALIA,8228,289.65,1611,Somalia,SOM
195,SOUTH AFRICA,88147,100282.26999999996,17298,South Africa,ZAF
196,SOUTH SUDAN ,257,232.62,51,South Sudan ,SSD
197,SPAIN,98744,22791.19000000001,19348,Spain,ESP
198,SRI LANKA DSR,84565,10514.080000000024,16525,Sri Lanka,LKA
199,ST HELENA,2566,1.4500000000000006,503,St Helena,Unknown code
200,ST KITT N A,899,0.78,178,St Kitt N A,Unknown code
201,ST LUCIA,3372,33.80000000000001,673,St Lucia,Unknown code
202,ST PIERRE,1297,21.550000000000004,253,St Pierre,Unknown code
203,ST VINCENT,1081,128.83,208,St Vincent,Unknown code
204,STATE OF PALEST,164,1.85,32,State Of Palest,Unknown code
205,SUDAN,21804,5563.510000000005,4308,Sudan,SDN
206,SURINAME,8179,571.0699999999998,1637,Suriname,SUR
207,SWAZILAND,31776,673.7899999999985,6198,Swaziland,Unknown code
208,SWEDEN,85565,26961.23000000001,16671,Sweden,SWE
209,SWITZERLAND,95970,294674.0700000007,18760,Switzerland,CHE
210,SYRIA,12087,989.3099999999997,2412,Syrian Arab Republic,SYR
211,TAIWAN,101020,53802.17999999997,19718,Taiwan,TWN
212,TAJIKISTAN,5602,209.13999999999996,1105,Tajikistan,TJK
213,TANZANIA REP,31356,8884.060000000007,6200,Tanzania Rep,TZA
214,THAILAND,102164,69705.94999999992,20000,Thailand,THA
